equipment_id,time_step,process_type,vibration,temperature,pressure,oil_quality,contaminant_level,acidity,hours_operated,maintenance_history,load,failure,anomaly
1,1,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,80.11502670278612,2.0,90.93173156181628,0,0
1,2,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,21.301409165689538,1.0,100.99831812215704,0,0
1,3,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,1.5389534618329115,3.0,100.52221826611982,0,0
1,4,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,4.389480563188588,2.0,85.63670306845398,0,0
1,5,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,33.9394550270428,3.0,101.45125784317136,0,0
1,6,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,3.80475429969117,1.0,110.08842857719016,0,0
1,7,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,13.019580825837494,1.0,96.23258529026855,0,0
1,8,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,45.93181228124015,0.0,99.0371433807424,0,0
1,9,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,135.13168257080957,3.0,103.5348604023021,1,0
1,10,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,172.9864222830425,2.0,82.24323227793482,1,0
1,11,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,6.2089941878557475,2.0,108.08440259210961,0,0
1,12,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,129.23148648095923,2.0,115.88941285432392,1,0
1,13,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,51.23842377142897,2.0,91.9623715908795,0,0
1,14,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,9.063687615832166,1.0,87.59282975727749,0,0
1,15,Hours Operated,0.33852518236696494,20.319115316218955,32.282760982719054,53.89449085414977,76.12929338531417,138.17143481433092,39.75312260826886,2.0,110.22705097990517,0,0
